"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 08 15:07:32 IST 2023","Fri Sep 08 15:07:46 IST 2023","14177","","Test_12_ProductCategory","TestProductCategory","","","test_02_add_new_product_category_3___E___POM_for_Bottle__webapp_automation_automation__TestData__ProductCategory__SampleImage__sampel_leather_3_jpg____Product_Cat_09__","To verify Add new Product Category. "
"passed","Fri Sep 08 13:10:07 IST 2023","Fri Sep 08 13:10:38 IST 2023","31315","","Test_07_Vendor","TestVendors","","","test_04_delete_vendor_2___frugal_latido_com_np____Test_123____E___POM_for_Bottle__webapp_automation__TestData__Vendor__Sample_Data_From_Bottle_Testing__Vendor__vendor2_jpg____AT_DEL_151____Delete_Vendor_151____vendor1_mail_com___9800001016___Auomator2____Siliguri____This_is_an_Automated_generated_descriptions____Tester_2____Siliguri___9800002011___test_mail_com__","Deleting a Vendor"
"passed","Fri Sep 08 11:59:36 IST 2023","Fri Sep 08 11:59:55 IST 2023","19052","","Test_04_TrackOrder","TestTrackOrder","","","test_check_input_5__332__True_","Checking Input in Track Order"
"passed","Fri Sep 08 11:20:31 IST 2023","Fri Sep 08 11:21:30 IST 2023","58306","","Test_03_Order","TestOrder","","","test_01_create_order_customer_2___frugal_latido_com_np____Test_123____9813670780____male____Exemplar__male_____Bronze_Mist_Antique____42____Golden_Antique____Black____Yes____40___5_6__4_4__5__46__8__12__11__7__1__9___Skin_Tight____Test_002____2023_09_29___100900_","Create an Order for existing Customer "
"passed","Fri Sep 08 13:14:23 IST 2023","Fri Sep 08 13:15:22 IST 2023","58275","","Test_07_Vendor","TestVendors","","","test_05_sync_vendor_3___frugal_latido_com_np____Test_123____E___POM_for_Bottle__webapp_automation__TestData__Vendor__Sample_Data_From_Bottle_Testing__Vendor__vendor3_jpg____TE_VE_IN_112____Del_Vendor_112____vendor1_mail_com___9800001017___Auomator3____Siliguri____This_is_an_Automated_generated_descriptions____Tester_3____Siliguri___9800002012___test_mail_com_____Automation__Item_81____AT_IT_81___2002___2023_05_21___12___Excellent____By_Truck____By_Cheque____Rohit____E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Receipt_png__","Checking Synchronization of a Vendor after creating a new one "
"passed","Fri Sep 08 13:34:58 IST 2023","Fri Sep 08 13:35:52 IST 2023","54835","","Test_08_Reporting","TestReporting","","","test_02_new_entry_5____Automation__Item_113____AT_IT_113____Silver_Zipper_Supplier___2000___2023_09_08___10___Good____By_Truck____By_Cheque____Rohit____E___POM_for_Bottle__webapp_automation__TestData__InventoryData__Image__Receipt_png__","Check for View more Details"
"passed","Fri Sep 08 13:07:48 IST 2023","Fri Sep 08 13:08:37 IST 2023","49273","","Test_07_Vendor","TestVendors","","","test_03_edit_vendor_4___frugal_latido_com_np____Test_123____E___POM_for_Bottle__webapp_automation__TestData__Vendor__Sample_Data_From_Bottle_Testing__Vendor__vendor1_jpg____AT_EDT_129____Auto_Vendor_edit_129____vendor1_mail_com___9800001019___Auomator4____Siliguri____This_is_an_Automated_generated_descriptions____Tester_4____Siliguri___9800002013___test_mail_com____Auto_Vendor_edited__04____vendor_edit01_mail_com___9800000203_","Editing a Vendor details"
"passed","Fri Sep 08 13:34:03 IST 2023","Fri Sep 08 13:34:55 IST 2023","52388","","Test_08_Reporting","TestReporting","","","test_02_new_entry_4____Automation__Item_112____AT_IT_112____Tamang_Suppliers___2000___2023_09_08___10___Excellent____By_Truck____By_Cash____Rohit____E___POM_for_Bottle__webapp_automation__TestData__InventoryData__Image__Receipt_png__","Check for View more Details"
"passed","Fri Sep 08 11:43:39 IST 2023","Fri Sep 08 11:44:42 IST 2023","62883","","Test_03_Order","TestOrder","","","test_05_check_order_synchronization_for_Store_1___frugal_latido_com_np____Test_123____Ek__male_____Black_Sheep____38____Silver____Black____No____40____Fit___8__7___33___11__5__9__12__46___6___5_6___Test_002___20000__1000___101011__","Checking Order synchronization after creating a New Order for store"
"passed","Fri Sep 08 12:35:04 IST 2023","Fri Sep 08 12:35:36 IST 2023","32308","","Test_06_Inventory","TestInventory","","","test_04_search_item_4___frugal_latido_com_np____Test_123_____Automation__Item_120__","Searching the Items from the search and adding a new Item to it"
"passed","Fri Sep 08 11:35:21 IST 2023","Fri Sep 08 11:36:12 IST 2023","51406","","Test_03_Order","TestOrder","","","test_03_create_order_store_3___frugal_latido_com_np____Test_123____Lucha__male_____Mahogany_Antique____40____Silver____Black____No____40____General_Fit___8__7___35___11__5__9__12__46___8___5_6___Test_004___20000__1000___101013__","Create a New Order for store"
"passed","Fri Sep 08 13:09:29 IST 2023","Fri Sep 08 13:10:04 IST 2023","35028","","Test_07_Vendor","TestVendors","","","test_04_delete_vendor_1___frugal_latido_com_np____Test_123____E___POM_for_Bottle__webapp_automation__TestData__Vendor__Sample_Data_From_Bottle_Testing__Vendor__vendor1_jpg____AT_DEL_150____Delete_Vendor_150____vendor1_mail_com___9800001015___Auomator1____Siliguri____This_is_an_Automated_generated_descriptions____Tester_1____Siliguri___9800002010___test_mail_com__","Deleting a Vendor"
"passed","Fri Sep 08 11:41:21 IST 2023","Fri Sep 08 11:42:26 IST 2023","65219","","Test_03_Order","TestOrder","","","test_04_check_order_synchronization_for_Customer_4___frugal_latido_com_np____Test_123____9813000000____male____Luigi__male_____Pink_Foil____41____Golden_Antique____Black____Yes____40___5_6__4_4__5__46__8__12__11__7__1__9___Comfort____Test_004____2023_09_29___100900_","Checking Order synchronization after creating a new customer order "
"passed","Fri Sep 08 11:23:27 IST 2023","Fri Sep 08 11:24:23 IST 2023","56223","","Test_03_Order","TestOrder","","","test_01_create_order_customer_5___frugal_latido_com_np____Test_123____9813000000____female____Luigi__male_____Mahogany_Antique____41____Golden_Antique____Black____Yes____40___5_6__4_4__5__46__8__12__11__7__1__9___Comfort____Test_004____2023_09_29___100900_","Create an Order for existing Customer "
"passed","Fri Sep 08 11:10:54 IST 2023","Fri Sep 08 11:11:30 IST 2023","35787","","Test_02_Dashboard","TestDashboard","","","test_dashboard_01_totalUser","Checking Total User Tiles"
"passed","Fri Sep 08 15:08:04 IST 2023","Fri Sep 08 15:08:18 IST 2023","13187","","Test_12_ProductCategory","TestProductCategory","","","test_02_add_new_product_category_5___E___POM_for_Bottle__webapp_automation_automation__TestData__ProductCategory__SampleImage__sampel_leather_2_jpg____Product_Cat_11__","To verify Add new Product Category. "
"passed","Fri Sep 08 14:35:37 IST 2023","Fri Sep 08 14:37:27 IST 2023","109885","","Test_10_ProductManagement","TestProductManagement","","","test_04_check_synchronization_4___E___POM_for_Bottle__webapp_automation__TestData__ProductManagement__sampleData__Brown_Leather__Brown_Leather_01_jpg____TEST_SA_71____Alpha_Ultimate____male___8___Party____Silver____Golden_Antique___False__False___This_is_a_testing_mode_description____23_24_25_26_27_28_29_30_31_35____Mahogany_Antique____XXXS_XXS_Extra_Small__XS_____5000__5000__5000____Tobacco_Brown_New_Zealand_Sheep__","Adding a new product into the List. "
"passed","Fri Sep 08 12:29:59 IST 2023","Fri Sep 08 12:30:49 IST 2023","50026","","Test_06_Inventory","TestInventory","","","test_03_restocking_item_3___frugal_latido_com_np____Test_123_____Automation__Item_146____AT_IT_146____Mulchand___Sons___2000___2023_09_08___10___Bad____By_Truck____By_Cheque____Rohit____E___POM_for_Bottle__webapp_automation__TestData__InventoryData__Image__Receipt_png__","Selecting a new Category and restocking the Items "
"passed","Fri Sep 08 12:30:51 IST 2023","Fri Sep 08 12:31:40 IST 2023","48386","","Test_06_Inventory","TestInventory","","","test_03_restocking_item_4___frugal_latido_com_np____Test_123_____Automation__Item_147____AT_IT_147____Tamang_Suppliers___2000___2023_09_08___10___Excellent____By_Truck____By_Cash____Rohit____E___POM_for_Bottle__webapp_automation__TestData__InventoryData__Image__Receipt_png__","Selecting a new Category and restocking the Items "
"passed","Fri Sep 08 10:59:33 IST 2023","Fri Sep 08 10:59:53 IST 2023","19101","","Test_01_Login","TestLogin","","","test_LoginSuccessful_3___rohit13_latido_com_np____Test_123__","Login Successfully"
"passed","Fri Sep 08 11:52:10 IST 2023","Fri Sep 08 11:52:45 IST 2023","35117","","Test_03_Order","TestOrder","","","test_06_Search_functionality_5___frugal_latido_com_np____Test_123____223____Luigi__male_____Mahogany_Antique____Golden_Antique____Black____Yes__","Search and verify item"
"passed","Fri Sep 08 13:43:43 IST 2023","Fri Sep 08 13:44:11 IST 2023","27896","","Test_09_MemberManagement","TestMemberManagement","","","test_03_edit_member_3___TestUser_93____Factory_Manager____userEdit_auto93___9800000028___Siliguri____Test_123____TestUser_Edited__03____PRODUCTMANAGER___9800000103_","Verify the edits are reflecting correctly after editing."
"passed","Fri Sep 08 14:23:05 IST 2023","Fri Sep 08 14:24:47 IST 2023","101740","","Test_10_ProductManagement","TestProductManagement","","","test_02_add_new_product_6___E___POM_for_Bottle__webapp_automation__TestData__ProductManagement__sampleData__Bas_Black__Bas_Black_01_jpg____TEST_A_85____Frontier_ultimate____unisex___10___Winter_Jacket____Silver____Black___False__False___This_is_a_testing_mode_description____23_24_25_26_27_28_29_30_31_37____New_Zealand_Sheep____XXXS_XXS_Extra_Small__XS_____5000__5000__5000____Sheep_Tumble_Pink_Foil__","Adding a new product into the List. "
"passed","Fri Sep 08 11:19:28 IST 2023","Fri Sep 08 11:20:31 IST 2023","63450","","Test_03_Order","TestOrder","","","test_01_create_order_customer_1___frugal_latido_com_np____Test_123___9860838855___female____Ek__male_____Black_Sheep____38____Silver____Black____No____40___5_6__4_4__5__46__8__12__11__7__1__9___Fit____Test_001____2023_09_29___100900_","Create an Order for existing Customer "
"passed","Fri Sep 08 11:36:15 IST 2023","Fri Sep 08 11:37:06 IST 2023","51073","","Test_03_Order","TestOrder","","","test_03_create_order_store_4___frugal_latido_com_np____Test_123____Luigi__male_____Pink_Foil____41____Golden_Antique____Black____Yes____40____Comfort___8__7___33___11__5__9__12__46___6___5_6___Test_002___20000__1000___101011__","Create a New Order for store"
"passed","Fri Sep 08 13:36:52 IST 2023","Fri Sep 08 13:37:11 IST 2023","18827","","Test_08_Reporting","TestReporting","","","test_landing","Verify Landing on Reporting Page."
"passed","Fri Sep 08 11:02:29 IST 2023","Fri Sep 08 11:02:40 IST 2023","10558","","Test_01_Login","TestLogin","","","test_login_with_empty_password_fields_3___rohit13_latido_com_np___None_","Login With Incorrect Username"
"passed","Fri Sep 08 13:11:14 IST 2023","Fri Sep 08 13:11:43 IST 2023","29164","","Test_07_Vendor","TestVendors","","","test_04_delete_vendor_4___frugal_latido_com_np____Test_123____E___POM_for_Bottle__webapp_automation__TestData__Vendor__Sample_Data_From_Bottle_Testing__Vendor__vendor1_jpg____AT_DEL_153____Delete_Vendor_153____vendor1_mail_com___9800001018___Auomator4____Siliguri____This_is_an_Automated_generated_descriptions____Tester_4____Siliguri___9800002013___test_mail_com__","Deleting a Vendor"
"passed","Fri Sep 08 10:59:15 IST 2023","Fri Sep 08 10:59:31 IST 2023","15973","","Test_01_Login","TestLogin","","","test_LoginSuccessful_2___frugal_latido_com_np____Test_123__","Login Successfully"
"passed","Fri Sep 08 11:01:50 IST 2023","Fri Sep 08 11:02:01 IST 2023","11111","","Test_01_Login","TestLogin","","","test_login_Unsuccessful_with_invalid_username_4___f_rugallatido_com_np____Test_1825__","Login With Invalid Username"
"passed","Fri Sep 08 12:23:53 IST 2023","Fri Sep 08 12:24:38 IST 2023","44652","","Test_06_Inventory","TestInventory","","","test_02_Add_newCategory_item_1___frugal_latido_com_np____Test_123____Leather00_39____LT_039____T0_LT_00_39____AT_LT_00_39____Auto_Testing__039____Black____Performing_this_using_automation_scripts____1__1__1___E___POM_for_Bottle__webapp_automation__TestData__InventoryData__Image__BikerJacket_jpg____E___POM_for_Bottle__webapp_automation__TestData__InventoryData__Image__Black_Plain_Jacket_jpg____Frugal_Automation____50_","Selecting a new Category from Category Carousel "
"passed","Fri Sep 08 15:13:15 IST 2023","Fri Sep 08 15:13:35 IST 2023","19788","","Test_12_ProductCategory","TestProductCategory","","","test_04_add_product_subcategory_6___Product_Cat_edit_12____E___POM_for_Bottle__webapp_automation_automation__TestData__ProductCategory__SampleImage__sampel_leather_3_jpg____Product_Sub_category_12__","To verify Add new Product Sub-Category. "
